rxn	MARD_SAMN02436108_REFG_MMP02436108	MARD_SAMN02436163_REFG_MMP02436163	MARD_SAMN04488041_REFG_MMP04488041	MARD_SAMN04965931_REFG_MMP04965931
DM_cpd01042_c0	1	1	1	1
EX_cpd00001_e0	1	1	1	1
EX_cpd00006_e0	1	1	1	1
EX_cpd00007_e0	1	1	1	1
EX_cpd00009_e0	1	1	1	1
EX_cpd00010_e0	1	1	1	1
EX_cpd00011_e0	1	1	1	1
EX_cpd00013_e0	1	1	1	1
EX_cpd00020_e0	1	1	1	1
EX_cpd00023_e0	1	1	1	1
EX_cpd00025_e0	1	1	1	1
EX_cpd00027_e0	1	1	1	1
EX_cpd00028_e0	1	1	1	1
EX_cpd00029_e0	1	1	1	1
EX_cpd00030_e0	1	1	1	1
EX_cpd00033_e0	1	1	1	1
EX_cpd00034_e0	1	1	1	1
EX_cpd00035_e0	1	1	1	1
EX_cpd00036_e0	1	1	1	1
EX_cpd00039_e0	1	1	1	1
EX_cpd00041_e0	1	1	1	1
EX_cpd00048_e0	1	1	1	1
EX_cpd00051_e0	1	1	1	1
EX_cpd00053_e0	1	1	1	1
EX_cpd00054_e0	1	1	1	1
EX_cpd00055_e0	1	1	1	1
EX_cpd00058_e0	1	1	1	1
EX_cpd00060_e0	1	1	1	1
EX_cpd00063_e0	1	1	1	1
EX_cpd00064_e0	1	1	1	1
EX_cpd00067_e0	1	1	1	1
EX_cpd00069_e0	1	1	1	1
EX_cpd00071_e0	1	1	1	1
EX_cpd00073_e0	1	1	1	1
EX_cpd00075_e0	1	1	1	1
EX_cpd00082_e0	1	1	1	1
EX_cpd00084_e0	1	1	1	1
EX_cpd00098_e0	1	1	1	1
EX_cpd00099_e0	1	1	1	1
EX_cpd00105_e0	1	1	1	1
EX_cpd00106_e0	1	1	1	1
EX_cpd00107_e0	1	1	1	1
EX_cpd00108_e0	1	1	1	1
EX_cpd00116_e0	1	1	1	1
EX_cpd00118_e0	1	1	1	1
EX_cpd00119_e0	1	1	1	1
EX_cpd00121_e0	1	1	1	1
EX_cpd00129_e0	1	1	1	1
EX_cpd00130_e0	1	1	1	1
EX_cpd00132_e0	1	1	1	1
EX_cpd00133_e0	1	1	1	1
EX_cpd00136_e0	1	1	1	1
EX_cpd00137_e0	1	1	1	1
EX_cpd00138_e0	1	1	1	1
EX_cpd00141_e0	1	1	1	1
EX_cpd00149_e0	1	1	1	1
EX_cpd00150_e0	1	1	1	1
EX_cpd00153_e0	1	1	1	1
EX_cpd00154_e0	1	1	1	1
EX_cpd00156_e0	1	1	1	1
EX_cpd00159_e0	1	1	1	1
EX_cpd00161_e0	1	1	1	1
EX_cpd00178_e0	1	1	1	1
EX_cpd00179_e0	1	1	1	1
EX_cpd00185_e0	1	1	1	1
EX_cpd00204_e0	1	1	1	1
EX_cpd00205_e0	1	1	1	1
EX_cpd00208_e0	1	1	1	1
EX_cpd00209_e0	1	1	1	1
EX_cpd00210_e0	1	1	1	1
EX_cpd00211_e0	1	1	1	1
EX_cpd00214_e0	1	1	1	1
EX_cpd00220_e0	1	1	1	1
EX_cpd00221_e0	1	1	1	1
EX_cpd00222_e0	1	1	1	1
EX_cpd00224_e0	1	1	1	1
EX_cpd00239_e0	1	1	1	1
EX_cpd00244_e0	1	1	1	1
EX_cpd00254_e0	0	1	0	0
EX_cpd00264_e0	1	1	1	1
EX_cpd00268_e0	1	1	1	1
EX_cpd00277_e0	1	1	1	1
EX_cpd00281_e0	1	1	1	1
EX_cpd00305_e0	1	1	1	1
EX_cpd00309_e0	1	1	1	1
EX_cpd00314_e0	1	1	1	1
EX_cpd00322_e0	1	1	1	1
EX_cpd00324_e0	1	1	1	1
EX_cpd00359_e0	1	1	1	1
EX_cpd00363_e0	1	1	1	1
EX_cpd00367_e0	1	1	1	1
EX_cpd00371_e0	1	1	1	1
EX_cpd00380_e0	1	1	1	1
EX_cpd00396_e0	1	1	1	1
EX_cpd00418_e0	1	1	1	1
EX_cpd00448_e0	1	1	1	1
EX_cpd00450_e0	1	1	1	1
EX_cpd00453_e0	1	1	1	1
EX_cpd00489_e0	0	1	0	1
EX_cpd00528_e0	1	1	1	1
EX_cpd00531_e0	1	1	1	1
EX_cpd00540_e0	1	1	1	1
EX_cpd00653_e0	1	1	1	1
EX_cpd00659_e0	1	1	1	1
EX_cpd00751_e0	1	1	1	1
EX_cpd00794_e0	1	1	1	1
EX_cpd00811_e0	1	1	1	1
EX_cpd00971_e0	1	1	1	1
EX_cpd01012_e0	1	1	1	1
EX_cpd01024_e0	1	1	1	1
EX_cpd01048_e0	1	1	1	1
EX_cpd01080_e0	1	1	1	1
EX_cpd01107_e0	1	1	1	1
EX_cpd01113_e0	1	1	1	1
EX_cpd01132_e0	1	1	1	1
EX_cpd01217_e0	1	1	1	1
EX_cpd01262_e0	1	1	1	1
EX_cpd01354_e0	1	1	1	1
EX_cpd01399_e0	1	1	1	1
EX_cpd01618_e0	1	1	1	1
EX_cpd01741_e0	1	1	1	1
EX_cpd01861_e0	1	1	1	1
EX_cpd01981_e0	1	1	1	1
EX_cpd02733_e0	1	1	1	1
EX_cpd03662_e0	1	1	1	1
EX_cpd03724_e0	1	1	1	1
EX_cpd03808_e0	1	1	1	1
EX_cpd03846_e0	1	1	1	1
EX_cpd03847_e0	1	1	1	1
EX_cpd04097_e0	1	1	1	1
EX_cpd04098_e0	1	1	1	1
EX_cpd08021_e0	1	1	1	1
EX_cpd10515_e0	1	1	1	1
EX_cpd10516_e0	1	1	1	1
EX_cpd11451_e0	1	1	1	1
EX_cpd11574_e0	1	1	1	1
EX_cpd11595_e0	1	1	1	1
EX_cpd11606_e0	1	1	1	1
EX_cpd11632_e0	1	1	1	1
EX_cpd11640_e0	1	1	1	1
EX_cpd11976_e0	1	1	1	1
EX_cpd15237_e0	1	1	1	1
EX_cpd15269_e0	1	1	1	1
EX_cpd15298_e0	1	1	1	1
EX_cpd15494_e0	1	1	1	1
EX_cpd17026_e0	1	1	1	1
EX_cpd17027_e0	1	1	1	1
bio1	1	1	1	1
rxn00001_c0	1	1	1	1
rxn00002_c0	0	1	1	0
rxn00003_c0	1	1	1	1
rxn00006_c0	1	1	1	1
rxn00010_c0	1	1	1	1
rxn00011_c0	1	1	1	1
rxn00029_c0	1	1	1	1
rxn00032_c0	1	1	1	1
rxn00048_c0	1	1	1	1
rxn00056_c0	1	0	1	0
rxn00058_c0	1	1	1	1
rxn00060_c0	1	1	1	1
rxn00062_c0	1	1	1	1
rxn00068_c0	1	1	1	1
rxn00070_c0	1	1	1	1
rxn00076_c0	1	1	1	1
rxn00077_c0	1	1	1	1
rxn00085_c0	1	1	1	1
rxn00086_c0	1	1	1	1
rxn00088_c0	1	1	1	1
rxn00097_c0	1	1	1	1
rxn00100_c0	1	1	1	1
rxn00101_c0	1	1	1	1
rxn00103_c0	1	1	1	1
rxn00104_c0	1	1	1	1
rxn00105_c0	1	1	1	1
rxn00106_c0	1	1	1	1
rxn00107_c0	1	1	1	1
rxn00117_c0	1	1	1	1
rxn00119_c0	1	1	1	1
