rxn	BATS_SAMN07137070_METAG_FENLIEBD	BATS_SAMN07137071_METAG_PONJEGOG	BATS_SAMN07137073_METAG_LGLLGDEG	BATS_SAMN07137074_METAG_DBCNLFDA	BATS_SAMN07137075_METAG_KMEFAIHN	BGEO_SAMN07136528_METAG_FBBIOGDG	BGEO_SAMN07136598_METAG_AMJNEENB	BGEO_SAMN07136599_METAG_FGOKEGHD	BGEO_SAMN07136606_METAG_HAKLAEPD	BGEO_SAMN07136607_METAG_KDKFLKCE	BGEO_SAMN07136608_METAG_PBCIHLOH	BGEO_SAMN07136609_METAG_MNFIJAIL	BGEO_SAMN07136706_METAG_CMFOPOJG	BGEO_SAMN07136766_METAG_GNCLJKLF	BGEO_SAMN07136767_METAG_DPBAGIII	BGEO_SAMN07136773_METAG_NCFJONLK	BGEO_SAMN07136774_METAG_KEGMMJPI	TARA_SAMEA2619818_METAG_PEDNNGOM	TARA_SAMEA2619857_METAG_EEODMOGK	TARA_SAMEA2619879_METAG_JPGMKILO	TARA_SAMEA2619927_METAG_AEHDPCEG	TARA_SAMEA2619952_METAG_CEAFNJGN	TARA_SAMEA2620000_METAG_EIEOIFOC	TARA_SAMEA2620081_METAG_PFBMGFMF	TARA_SAMEA2620734_METAG_OFDKCHIC	TARA_SAMEA2620756_METAG_DLAJIHOC	TARA_SAMEA2620855_METAG_ECJMJFBM	TARA_SAMEA2622710_METAG_OENBPFBA	TARA_SAMEA2622716_METAG_IPCCLEJC	TARA_SAMEA2622765_METAG_EHINJCLL	TARA_SAMEA2622766_METAG_OCNIKNIL	TARA_SAMEA2622796_METAG_GAECGFCM	TARA_SAMEA2622799_METAG_BMAADKHL	TARA_SAMEA2622801_METAG_ANIBKPHL	TARA_SAMEA2622817_METAG_OKMLEGOP	TARA_SAMEA2622843_METAG_AAIFKBJE	TARA_SAMEA2623426_METAG_MELPHJCB	TARA_SAMEA2623463_METAG_HLHAAAEN	TARA_SAMEA2623488_METAG_FBEJOOKN	TARA_SAMEA2623673_METAG_GNKBNJIB
DM_cpd01042_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00001_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00003_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00006_e0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00007_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00009_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00010_e0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00011_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00013_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00023_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00025_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00027_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
