rxn	MALA_SAMN05421563_METAG_BFGDMCMF	MALA_SAMN05421699_METAG_LMCJJMIA	MALA_SAMN05421706_METAG_LNMFOBGC	MALA_SAMN05422111_METAG_KEPKCCCA	MALA_SAMN05422121_METAG_CAAGKPLA	MALA_SAMN05422133_METAG_FGJNLDHN	MALA_SAMN05422136_METAG_ILJPNAJC	MALA_SAMN05422149_METAG_GNMNKMLP	MALA_SAMN05422163_METAG_GBLKLMFM	MALA_SAMN05422166_METAG_PANLLHKM	TARA_SAMEA2619815_METAG_KPFCFNFD	TARA_SAMEA2619992_METAG_NHNKBEME	TARA_SAMEA2620666_METAG_IDMCLKOP	TARA_SAMEA2620668_METAG_ANPEDALA	TARA_SAMEA2620783_METAG_PHNGKDFD	TARA_SAMEA2620815_METAG_ICFHDLJL	TARA_SAMEA2620882_METAG_PNFNJNEO	TARA_SAMEA2621003_METAG_HCJDLAIL	TARA_SAMEA2621076_METAG_BIIDFLBF	TARA_SAMEA2621099_METAG_JGJJBOJN	TARA_SAMEA2621101_METAG_AFHBMONF	TARA_SAMEA2621213_METAG_AIGONHEG	TARA_SAMEA2621216_METAG_AMANNGFK	TARA_SAMEA2621221_METAG_ONGGICHF	TARA_SAMEA2621229_METAG_GLOJJILA	TARA_SAMEA2621232_METAG_GCKKPACL	TARA_SAMEA2621242_METAG_CODGKNOG	TARA_SAMEA2621247_METAG_KKINPFAP	TARA_SAMEA2621271_METAG_AIMBJHJC	TARA_SAMEA2621272_METAG_BLKCGKNO	TARA_SAMEA2621287_METAG_LAMLNGLJ	TARA_SAMEA2621295_METAG_PEFNIIKL	TARA_SAMEA2622048_METAG_JCJOKGOI	TARA_SAMEA2622149_METAG_FHHCBBIL	TARA_SAMEA2622197_METAG_BFPJEENM	TARA_SAMEA2622362_METAG_MABIDFCK	TARA_SAMEA2622429_METAG_HILDLNPK	TARA_SAMEA2622499_METAG_KDNEPKNL	TARA_SAMEA2622568_METAG_CPLMNEMC	TARA_SAMEA2622673_METAG_BJPDMJAG	TARA_SAMEA2622678_METAG_OMEJAIJL	TARA_SAMEA2622690_METAG_DMNCMIJG	TARA_SAMEA2622696_METAG_HDGBNECL	TARA_SAMEA2623488_METAG_MMDELAPL	TARA_SAMEA2623513_METAG_JADADOON	TARA_SAMEA2623649_METAG_FONNEAOA	TARA_SAMEA2623693_METAG_MOEAEENP	TARA_SAMEA2623756_METAG_KEOMHLBK	TARA_SAMEA2623794_METAG_HCKPMHFL	TARA_SAMEA2623907_METAG_MOFLDGGH
DM_cpd01042_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00001_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00003_e0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX_cpd00006_e0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00007_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00009_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00010_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00011_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00012_e0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1
EX_cpd00013_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00020_e0	1	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	1
