rxn	MGYG000000074	MGYG000006284	MGYG000006869	MGYG000006906	MGYG000030607	MGYG000063312	MGYG000072808	MGYG000140008	MGYG000148481	MGYG000233340
DM_cpd01042_c0	1	1	1	1	1	1	1	1	1	1
EX_cpd00001_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00003_e0	1	1	1	0	1	1	1	0	0	1
EX_cpd00007_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00009_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00010_e0	1	0	1	1	1	1	0	0	1	1
EX_cpd00011_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00012_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00013_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00023_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00024_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00025_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00027_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00028_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00029_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00030_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00033_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00034_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00035_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00036_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00038_e0	1	0	1	1	1	1	0	1	1	1
EX_cpd00039_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00041_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00047_e0	1	1	1	1	1	1	0	1	1	1
EX_cpd00048_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00051_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00053_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00054_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00055_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00058_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00060_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00063_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00064_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00065_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00066_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00067_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00069_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00071_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00073_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00076_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00080_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00082_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00084_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00099_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00100_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00105_e0	0	0	0	0	0	0	0	1	0	0
EX_cpd00106_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00108_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00116_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00118_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00119_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00121_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00122_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00129_e0	0	1	0	0	0	0	0	0	0	0
EX_cpd00130_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00132_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00137_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00138_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00141_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00149_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00150_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00154_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00156_e0	0	1	0	0	0	0	0	0	0	0
EX_cpd00158_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00159_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00161_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00178_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00179_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00182_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00184_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00185_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00204_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00205_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00208_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00211_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00214_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00216_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00220_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00221_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00222_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00224_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00229_e0	1	0	1	1	1	1	0	0	1	1
EX_cpd00232_e0	0	0	0	0	0	0	0	1	0	0
EX_cpd00239_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00244_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00246_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00249_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00254_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00264_e0	0	1	1	0	1	1	1	0	0	1
EX_cpd00276_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00277_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00280_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00281_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00305_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00306_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00311_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00314_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00322_e0	1	1	1	0	1	1	0	0	1	1
EX_cpd00324_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00359_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00363_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00366_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00367_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00371_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00396_e0	1	0	1	1	1	1	1	1	1	1
