rxn	MGYG000000099	MGYG000005380	MGYG000006816	MGYG000028321	MGYG000044926	MGYG000055012	MGYG000057648	MGYG000151681	MGYG000172598	MGYG000173425	MGYG000187342	MGYG000217838	MGYG000266151
DM_cpd01042_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00001_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00003_e0	0	0	0	0	0	0	1	0	0	0	0	0	0
EX_cpd00007_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00009_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00010_e0	1	0	0	1	1	0	1	1	1	1	0	0	0
EX_cpd00011_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00012_e0	1	1	1	1	1	1	1	1	1	1	1	1	0
EX_cpd00013_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00020_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00023_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00024_e0	0	0	1	0	0	1	0	0	0	0	0	0	0
EX_cpd00025_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00027_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00028_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00029_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00030_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00033_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00034_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00035_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00036_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00038_e0	1	1	1	1	1	1	0	1	1	1	1	1	1
EX_cpd00039_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00041_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00047_e0	1	1	1	1	1	1	1	1	1	1	1	0	0
EX_cpd00048_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00051_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00053_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00054_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00055_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00058_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00060_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00063_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00064_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00065_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00066_e0	1	0	1	1	1	1	0	1	1	1	1	1	1
EX_cpd00067_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00069_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00071_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00073_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00076_e0	0	0	0	0	0	0	1	0	0	0	0	0	0
EX_cpd00082_e0	0	1	0	0	0	0	1	0	0	0	0	0	0
EX_cpd00084_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00092_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00098_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00099_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00104_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00105_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00106_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00107_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00108_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00109_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00110_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00116_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00118_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00119_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00121_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00122_e0	0	1	0	0	0	0	0	0	0	0	0	0	0
EX_cpd00129_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00130_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00132_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00137_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00138_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00141_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00149_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00150_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00152_e0	1	1	1	0	1	0	1	1	1	0	1	0	1
EX_cpd00153_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00154_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00156_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00158_e0	0	1	0	0	0	0	0	0	0	0	0	0	0
EX_cpd00159_e0	0	1	0	0	0	0	0	0	0	0	0	0	0
EX_cpd00161_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00176_e0	0	0	0	0	0	0	1	0	0	0	0	0	0
EX_cpd00178_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00179_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00182_e0	1	1	1	1	1	1	0	1	1	1	1	1	1
EX_cpd00185_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00204_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00205_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00208_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00209_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00210_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00211_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00216_e0	0	0	0	0	0	1	1	0	0	1	0	0	1
EX_cpd00220_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00221_e0	0	1	0	0	0	0	0	0	0	0	0	0	0
EX_cpd00222_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00224_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00229_e0	0	0	0	0	0	0	0	0	0	1	0	0	0
EX_cpd00239_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00244_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00246_e0	1	1	1	1	1	1	0	1	1	1	1	1	1
EX_cpd00249_e0	1	0	1	1	1	1	1	1	1	0	1	1	1
EX_cpd00254_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00264_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00268_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00276_e0	0	1	0	0	0	0	1	0	0	0	0	0	0
EX_cpd00277_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00281_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00305_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00307_e0	1	1	1	1	1	1	1	1	1	0	1	1	1
EX_cpd00309_e0	1	1	1	1	1	1	1	1	1	0	1	1	1
EX_cpd00311_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00314_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00322_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00324_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00359_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00363_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00366_e0	0	1	0	0	0	0	0	0	0	0	0	0	0
EX_cpd00367_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00371_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00380_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00393_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00396_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00418_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00448_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00450_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00453_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00526_e0	1	1	1	1	1	1	1	1	1	1	1	1	0
EX_cpd00528_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00531_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00540_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00573_e0	0	0	0	0	0	0	1	0	0	0	0	0	0
EX_cpd00644_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00653_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00659_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00751_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00794_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00811_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00832_e0	0	1	0	0	0	0	0	0	0	0	0	0	0
EX_cpd00949_e0	1	1	1	1	1	1	1	1	1	1	1	1	0
EX_cpd00971_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01012_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01015_e0	1	1	1	0	1	1	0	0	0	0	1	1	1
EX_cpd01024_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01092_e0	1	1	1	1	1	1	1	1	1	0	1	1	1
EX_cpd01132_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01217_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01262_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01318_e0	1	1	1	1	1	1	1	1	1	0	1	1	1
EX_cpd01354_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01399_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01618_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01663_e0	1	0	0	0	0	0	0	0	1	0	1	0	0
EX_cpd01861_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01981_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd02733_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd03047_e0	1	1	1	1	1	1	1	1	1	0	1	1	0
EX_cpd03198_e0	1	0	0	0	0	0	0	0	0	0	0	0	0
EX_cpd03246_e0	1	0	0	0	0	0	0	0	0	0	0	0	0
EX_cpd03247_e0	1	1	1	1	1	1	1	1	1	0	1	1	1
EX_cpd03424_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd03662_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd03808_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd04097_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd08021_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
