rxn	MGYG000005559	MGYG000007232	MGYG000007518	MGYG000007733	MGYG000007774	MGYG000010256	MGYG000011088	MGYG000011566	MGYG000013704	MGYG000014245	MGYG000014726	MGYG000016744	MGYG000017049	MGYG000017850	MGYG000018323	MGYG000018482	MGYG000019569	MGYG000022097	MGYG000022507	MGYG000024216	MGYG000024333	MGYG000024977	MGYG000025349	MGYG000025437	MGYG000026162	MGYG000026597	MGYG000026629	MGYG000026757	MGYG000028547	MGYG000029521	MGYG000030173	MGYG000030708	MGYG000030812	MGYG000031417	MGYG000031960	MGYG000032471	MGYG000033283	MGYG000033856	MGYG000034120	MGYG000034632	MGYG000035072	MGYG000035610	MGYG000036628	MGYG000038373	MGYG000038475	MGYG000040150	MGYG000042856	MGYG000043702	MGYG000043708	MGYG000043994	MGYG000044025	MGYG000044715	MGYG000045391	MGYG000045783	MGYG000046291	MGYG000046595	MGYG000046752	MGYG000047105	MGYG000047995	MGYG000048286	MGYG000048686	MGYG000049120	MGYG000049440	MGYG000049736	MGYG000051953	MGYG000052802	MGYG000053318	MGYG000054122	MGYG000054808	MGYG000055659	MGYG000056231	MGYG000056256	MGYG000056408	MGYG000057006	MGYG000058432	MGYG000059966	MGYG000059994	MGYG000063223	MGYG000063336	MGYG000064015	MGYG000064408	MGYG000064752	MGYG000066027	MGYG000066038	MGYG000066465	MGYG000066784	MGYG000066910	MGYG000067174	MGYG000067589	MGYG000067768	MGYG000068536	MGYG000068691	MGYG000068781	MGYG000069148	MGYG000069172	MGYG000069709	MGYG000070102	MGYG000070438	MGYG000071751	MGYG000074611	MGYG000074967	MGYG000076066	MGYG000078603	MGYG000078623	MGYG000078634	MGYG000078992	MGYG000079350	MGYG000079761	MGYG000080136	MGYG000082623	MGYG000083318	MGYG000083341	MGYG000083493	MGYG000084615	MGYG000084772	MGYG000084825	MGYG000084843	MGYG000085789	MGYG000086301	MGYG000086502	MGYG000088209	MGYG000089068	MGYG000089888	MGYG000091736	MGYG000091881	MGYG000093212	MGYG000094689	MGYG000095672	MGYG000096023	MGYG000096895	MGYG000097093	MGYG000097743	MGYG000098266	MGYG000098556	MGYG000098692	MGYG000098839	MGYG000098868	MGYG000099271	MGYG000099771	MGYG000101796	MGYG000104461	MGYG000105721	MGYG000106097	MGYG000106284	MGYG000106408	MGYG000107307	MGYG000109086	MGYG000109254	MGYG000109265	MGYG000109864	MGYG000110441	MGYG000111682	MGYG000112588	MGYG000112967	MGYG000113122	MGYG000113716	MGYG000114009	MGYG000114842	MGYG000115612	MGYG000115937	MGYG000116846	MGYG000117075	MGYG000120073	MGYG000120368	MGYG000122479	MGYG000123238	MGYG000124443	MGYG000127235	MGYG000127608	MGYG000127681	MGYG000127824	MGYG000128557	MGYG000128945	MGYG000130690	MGYG000133175	MGYG000134539	MGYG000135760	MGYG000136033	MGYG000136270	MGYG000136310	MGYG000136639	MGYG000136699	MGYG000137021	MGYG000137668	MGYG000139523	MGYG000140042	MGYG000140044	MGYG000140050	MGYG000141022	MGYG000141779	MGYG000142363	MGYG000142376	MGYG000143197	MGYG000143278	MGYG000144002	MGYG000144056	MGYG000144332	MGYG000144476	MGYG000144725	MGYG000145088	MGYG000145833	MGYG000145909	MGYG000146216	MGYG000147052	MGYG000147904	MGYG000148254	MGYG000148568	MGYG000149181	MGYG000149924	MGYG000150197	MGYG000150327	MGYG000151682	MGYG000152445	MGYG000152478	MGYG000152843	MGYG000152918	MGYG000153098	MGYG000153676	MGYG000153709	MGYG000153817	MGYG000154187	MGYG000156170	MGYG000156242	MGYG000156762	MGYG000156888	MGYG000157200	MGYG000157390	MGYG000158115	MGYG000158439	MGYG000158518	MGYG000159446	MGYG000159447	MGYG000159582	MGYG000160215	MGYG000160327	MGYG000160502	MGYG000160937	MGYG000161238	MGYG000162211	MGYG000162266	MGYG000162501	MGYG000164857	MGYG000167362	MGYG000167494	MGYG000167762	MGYG000168036	MGYG000168790	MGYG000169216	MGYG000169266	MGYG000169397	MGYG000171515	MGYG000172522	MGYG000173435	MGYG000173534	MGYG000173822	MGYG000175318	MGYG000175517	MGYG000175620	MGYG000175622	MGYG000176353	MGYG000178341	MGYG000179103	MGYG000179265	MGYG000179761	MGYG000180233	MGYG000180653	MGYG000182649	MGYG000182916	MGYG000183589	MGYG000183988	MGYG000184973	MGYG000185075	MGYG000185159	MGYG000187055	MGYG000187452	MGYG000188575	MGYG000188578	MGYG000188650	MGYG000189684	MGYG000189908	MGYG000190110	MGYG000190273	MGYG000192952	MGYG000194328	MGYG000194497	MGYG000194800	MGYG000194954	MGYG000195233	MGYG000195868	MGYG000195899	MGYG000196330	MGYG000196479	MGYG000196624	MGYG000196708	MGYG000196944	MGYG000197395	MGYG000199102	MGYG000200707	MGYG000200764	MGYG000201072	MGYG000201080	MGYG000201458	MGYG000201826	MGYG000203549	MGYG000203717	MGYG000203813	MGYG000204352	MGYG000205459	MGYG000205764	MGYG000205826	MGYG000205832	MGYG000206078	MGYG000206877	MGYG000207026	MGYG000207683	MGYG000208110	MGYG000208141	MGYG000208228	MGYG000208289	MGYG000208307	MGYG000208456	MGYG000208554	MGYG000208676	MGYG000208712	MGYG000208793	MGYG000209237	MGYG000209708	MGYG000210936	MGYG000213246	MGYG000214274	MGYG000214347	MGYG000214533	MGYG000215070	MGYG000215742	MGYG000216934	MGYG000217906	MGYG000218222	MGYG000218301	MGYG000218320	MGYG000218332	MGYG000219214	MGYG000220257	MGYG000221080	MGYG000221160	MGYG000221367	MGYG000221472	MGYG000222530	MGYG000223021	MGYG000223415	MGYG000223529	MGYG000224269	MGYG000224272	MGYG000224593	MGYG000224739	MGYG000225462	MGYG000226011	MGYG000226049	MGYG000228217	MGYG000229803	MGYG000231029	MGYG000231180	MGYG000231633	MGYG000231662	MGYG000232558	MGYG000233313	MGYG000234064	MGYG000234494	MGYG000234676	MGYG000235472	MGYG000237689	MGYG000237852	MGYG000238665	MGYG000238680	MGYG000238813	MGYG000238974	MGYG000239549	MGYG000239600	MGYG000240366	MGYG000240558	MGYG000240592	MGYG000241454	MGYG000241537	MGYG000241847	MGYG000241956	MGYG000242375	MGYG000242635	MGYG000243393	MGYG000243864	MGYG000244176	MGYG000245635	MGYG000245727	MGYG000245966	MGYG000247326	MGYG000247630	MGYG000248081	MGYG000249155	MGYG000249330	MGYG000249336	MGYG000250178	MGYG000250467	MGYG000250548	MGYG000252895	MGYG000253332	MGYG000254059	MGYG000255005	MGYG000256739	MGYG000257045	MGYG000260455	MGYG000261211	MGYG000261665	MGYG000261937	MGYG000262716	MGYG000263256	MGYG000263836	MGYG000264145	MGYG000264189	MGYG000264306	MGYG000264559	MGYG000267110	MGYG000267150	MGYG000267699	MGYG000268025	MGYG000268709	MGYG000270588	MGYG000270657	MGYG000271350	MGYG000271416	MGYG000272016	MGYG000272643	MGYG000272781	MGYG000272831	MGYG000273170	MGYG000273516	MGYG000273644	MGYG000274807	MGYG000275526	MGYG000276167	MGYG000276560	MGYG000276702	MGYG000277206	MGYG000278023	MGYG000278410	MGYG000278787	MGYG000280708	MGYG000282094	MGYG000282237	MGYG000282472	MGYG000283060	MGYG000283633	MGYG000284345	MGYG000285536	MGYG000286327	MGYG000287226	MGYG000287250	MGYG000287726	MGYG000287841	MGYG000288133
DM_cpd01042_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00001_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00003_e0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1
EX_cpd00007_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00009_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00010_e0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	1
EX_cpd00011_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00012_e0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00013_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00017_e0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
